Date,BLX Price,CIG Price,ELP Price,PLUG Price,XOM Price,RDS-B Price,CVX Price,BP Price
1999,7.24028205871582,0.8052703738212585,4.164178848266602,282.5,22.191997528076172,20.3385066986084,22.071880340576172,21.356483459472656
2000,11.100282669067383,0.523425817489624,3.893941640853882,146.875,18.394651412963867,20.449134826660156,22.928115844726562,23.542823791503906
2001,9.542373657226562,0.5185940265655518,3.7425007820129395,87.4000015258789,18.381559371948242,22.346818923950195,19.81576919555664,21.75428009033203
2002,1.5478711128234863,0.27349528670310974,1.3672000169754028,44.900001525878906,16.6257266998291,17.18667984008789,19.2662410736084,19.823974609375
2003,6.541880130767822,0.7008136510848999,2.3208343982696533,72.5,21.011764526367188,23.265064239501953,23.249553680419922,23.91596031188965
2004,7.381176948547363,0.9968281984329224,2.2100284099578857,61.099998474121094,25.67081642150879,29.20718765258789,27.67489242553711,30.627336502075195
2005,7.619876384735107,1.5491914749145508,3.8280179500579834,51.29999923706055,29.155574798583984,32.57846450805664,31.460735321044922,34.237159729003906
2006,7.830353736877441,2.0830624103546143,5.69580602645874,38.900001525878906,31.47645378112793,43.5582160949707,35.90591049194336,47.616939544677734
2007,7.903010368347168,2.5712547302246094,8.159005165100098,39.5,35.614444732666016,56.86521911621094,43.46043395996094,59.18208312988281
2008,7.432859420776367,2.007880687713623,5.898403644561768,10.199999809265137,24.04468536376953,46.442256927490234,28.205835342407227,51.42473220825195
2009,7.621436595916748,3.444241523742676,12.689888954162598,7.099999904632568,31.940954208374023,50.18597412109375,34.00033950805664,44.94267654418945
2010,10.572256088256836,3.463341236114502,15.14264965057373,3.700000047683716,24.708236694335938,61.70170974731445,41.33045196533203,49.494876861572266
2011,9.62972354888916,4.072584629058838,13.13097858428955,2.0399999618530273,24.833202362060547,74.21485900878906,49.39017868041992,58.73440933227539
2012,13.620220184326172,3.8080101013183594,9.753752708435059,0.5,25.34049415588379,77.97118377685547,48.31769561767578,61.495697021484375
2013,18.59727668762207,3.3590290546417236,8.948930740356445,1.5499999523162842,31.100786209106445,93.0263671875,53.90184020996094,73.86766815185547
2014,21.23830795288086,3.40183687210083,9.648436546325684,3.0,25.638011932373047,86.5248794555664,52.31367492675781,69.39427947998047
2015,18.780139923095703,1.0756676197052002,4.413572788238525,2.109999895095825,22.357269287109375,72.5332260131836,36.85811233520508,60.51750183105469
2016,22.269981384277344,1.8458667993545532,6.655265808105469,1.2000000476837158,28.82908058166504,99.12493896484375,50.01572799682617,72.54965209960938
2017,21.5118408203125,1.725518822669983,6.416669845581055,2.359999895095825,34.619258880615234,109.62187957763672,62.76405334472656,69.7877426147461
2018,14.773868560791016,3.219510793685913,7.169036388397217,1.2400000095367432,33.03714370727539,98.93656921386719,58.2268180847168,59.25446701049805
2019,19.657503128051758,3.182720899581909,16.233680725097656,3.1600000858306885,34.96337890625,114.04780578613281,59.970001220703125,63.5402717590332
2020,15.829999923706055,2.825190305709839,14.300000190734863,33.90999984741211,20.520000457763672,84.44999694824219,33.61000061035156,40.531681060791016
