Date,XOM,CVX,BP,RDS-B
1980,0.5876891613006592,1.5620779991149902,2.1801464557647705,1.3070966005325317
1981,0.9581477046012878,2.85781192779541,3.757967710494995,1.8114105463027954
1982,0.7961226105690002,2.3971076011657715,2.1343159675598145,1.2350525856018066
1983,0.8511463403701782,1.799630045890808,1.839701533317566,1.0909621715545654
1984,1.1752713918685913,1.9651949405670166,2.278348684310913,1.3688493967056274
1985,1.5493414402008057,1.8432645797729492,2.173597812652588,1.240198016166687
1986,2.0293161869049072,2.4309616088867188,2.572964906692505,1.60042142868042
1987,2.8461320400238037,3.172823667526245,2.631887674331665,2.41349720954895
1988,3.343411445617676,3.003140926361084,3.180865526199341,3.3885443210601807
1989,3.7498092651367188,3.4878857135772705,3.133662700653076,3.314009189605713
1990,4.563298225402832,5.543826580047607,4.0664873123168945,4.675061225891113
1991,4.870590686798096,6.054174900054932,5.062280178070068,5.4554595947265625
1992,6.034305095672607,6.024111270904541,4.582562446594238,6.1353373527526855
1993,6.469362258911133,6.401671409606934,3.341073751449585,5.845755577087402
1994,7.029332160949707,8.416119575500488,4.8917999267578125,7.752618789672852
1995,7.0044264793396,8.873916625976562,6.322627544403076,8.018921852111816
1996,9.725421905517578,10.974640846252441,8.449957847595215,10.595934867858887
1997,12.317488670349121,14.15874195098877,11.88548469543457,13.67041015625
1998,15.937112808227539,17.272645950317383,13.947869300842285,18.811315536499023
1999,19.15910530090332,18.74533462524414,16.5474796295166,16.27948760986328
2000,21.112577438354492,19.634136199951172,22.004932403564453,21.649581909179688
2001,24.545055389404297,20.81239128112793,18.68282127380371,23.36345863342285
2002,22.2926082611084,22.314401626586914,18.199758529663086,19.653223037719727
2003,20.466455459594727,17.533105850219727,16.891576766967773,19.736515045166016
2004,24.10262680053711,23.130416870117188,21.033044815063477,23.383800506591797
2005,30.436513900756836,28.311689376831055,25.108163833618164,27.061094284057617
2006,36.24429702758789,33.904090881347656,30.15435791015625,32.81120681762695
2007,46.83308792114258,42.04169845581055,30.95106315612793,35.54759979248047
2008,60.07149887084961,56.944427490234375,35.706939697265625,43.4499626159668
2009,53.48383331298828,48.04326248168945,24.92437171936035,29.357532501220703
2010,46.349365234375,51.53532028198242,32.59112548828125,35.211082458496094
2011,51.31982421875,62.16826629638672,25.256437301635742,41.57841491699219
2012,60.605709075927734,76.98395538330078,25.646650314331055,50.215389251708984
2013,64.100830078125,79.59347534179688,25.815168380737305,48.42674255371094
2014,74.04574584960938,92.45291137695312,30.697708129882812,53.3851318359375
2015,70.86282348632812,86.8333969116211,25.638011932373047,51.98277282714844
2016,61.15834426879883,71.63825225830078,22.214223861694336,37.12229537963867
2017,74.29668426513672,99.25127410888672,29.307249069213867,50.73183822631836
2018,72.15240478515625,111.71467590332031,34.90754699707031,63.82099914550781
2019,61.58631896972656,100.66447448730469,33.620872497558594,59.06223678588867
2020,65.656494140625,114.91845703125,35.333946228027344,60.68000030517578
