Date,XOM ROLLING_STD,CVX ROLLING_STD,BP ROLLING_STD,RDS-B ROLLING_STD
1985,0.3060777341836897,0.432483648766634,0.4371813461360648,0.2893666716031448
1986,0.22937186770190077,0.22434462588268764,0.2696897587907798,0.26118801293410404
1987,0.13294772739947064,0.24313889836106822,0.15706036904070295,0.2682406178735366
1988,0.08899459554223195,0.18563656601766712,0.12540055398980743,0.22788147370986814
1989,0.11454425257417702,0.18560556239553028,0.11726567851408738,0.2640538846710992
1990,0.11177340330264093,0.23555165189825922,0.13149748287962795,0.20521858701603884
1991,0.12809313936622685,0.24409856350758113,0.13924137307833978,0.21652359759404669
1992,0.07013684763637254,0.2558253349242841,0.172461369991505,0.18751411708372495
1993,0.08043654921057118,0.23648877639215718,0.23765636210780364,0.18345844680031
1994,0.08424231031390776,0.24329157881505936,0.30174430531608337,0.1789768797308039
1995,0.08909168503494386,0.12305324363941168,0.3010245115769641,0.14144530069610783
1996,0.15671048707788096,0.13594514784119807,0.31254378019703216,0.16830067498716708
1997,0.16077281818482853,0.1248396135437272,0.296190762490327,0.17762444327203755
1998,0.16035239618540817,0.1019025511486107,0.11144888102827201,0.13507579332704606
1999,0.14649220360838877,0.10205021522744989,0.09932667173896018,0.21835055572579232
2000,0.10673781289831219,0.10417743202343605,0.10195264822545073,0.2097525445405479
2001,0.07762928343313145,0.10827451086639613,0.21388736084480525,0.21321311390180384
2002,0.1440632379573273,0.07016515789626847,0.1900465130111048,0.2507401048190199
2003,0.13753175619185964,0.12622093832370201,0.1986377376781089,0.19720423297619605
2004,0.13143877485881794,0.188871142427471,0.2098931979844395,0.18430767217596203
2005,0.162264456368867,0.20265803966967438,0.17251232483797244,0.13798899089833838
2006,0.1660487452550473,0.20648758239396434,0.14585001932282923,0.15594228157310866
2007,0.14787728053825158,0.21042780215833187,0.13530951983360445,0.08444743940118879
2008,0.05328502065923835,0.06667836823594217,0.08348268131454285,0.05567992862361143
2009,0.16876375935328475,0.19304739479169813,0.2112702201329509,0.2273728677294804
2010,0.21027875141639923,0.1946994447454044,0.23484180676819377,0.2321353889262124
2011,0.20495811905634229,0.19536864232267928,0.25517344852424734,0.22796714701415022
2012,0.18198485313657184,0.19515960464815207,0.2548518484701439,0.23611312684160063
2013,0.13717962505660322,0.15735254022823597,0.23923991466380828,0.23004028806642948
2014,0.12490404163979152,0.08701467081183521,0.20252638825900884,0.10201470755884824
2015,0.08878211377719397,0.1256865621505656,0.16392115633299564,0.11344039170868771
2016,0.13378522183754754,0.16622431621345443,0.14100810161890345,0.18508989417960078
2017,0.1430702065347363,0.21582224631652117,0.20819595122365295,0.2375034438769777
2018,0.14702016469134302,0.2159857667759492,0.2162493362304197,0.2546797570466581
2019,0.1458486374723169,0.22484610563465002,0.21135924661801564,0.2634510351235164
2020,0.15112404189563966,0.22142285998597516,0.1800625367664948,0.2607698124569312
