BLX,BP,CIG,CVX,ELP,PLUG,RDS-B,XOM
7.24028205871582,22.191997528076172,0.8052703738212585,20.055025100708008,4.164178848266602,282.5,22.071880340576172,21.356483459472656
11.100282669067383,18.394651412963867,0.523425817489624,20.164093017578125,3.893941640853882,146.875,22.928115844726562,23.542823791503906
9.542373657226562,18.381559371948242,0.5185940265655518,22.035337448120117,3.7425007820129395,87.4000015258789,19.81576919555664,21.75428009033203
1.5478711128234863,16.6257266998291,0.27349528670310974,16.947132110595703,1.3672000169754028,44.900001525878906,19.2662410736084,19.823974609375
6.541880130767822,21.011764526367188,0.7008136510848999,22.94078826904297,2.3208343982696533,72.5,23.249553680419922,23.91596031188965
7.381176948547363,25.67081642150879,0.9968281984329224,28.80010223388672,2.2100284099578857,61.099998474121094,27.67489242553711,30.627336502075195
7.619876384735107,29.155574798583984,1.5491914749145508,32.12437057495117,3.8280179500579834,51.29999923706055,31.460735321044922,34.237159729003906
7.830353736877441,31.47645378112793,2.0830624103546143,42.95106887817383,5.69580602645874,38.900001525878906,35.90591049194336,47.616939544677734
7.903010368347168,35.614444732666016,2.5712547302246094,56.07260513305664,8.159005165100098,39.5,43.46043395996094,59.18208312988281
7.432859420776367,24.04468536376953,2.007880687713623,45.794925689697266,5.898403644561768,10.199999809265137,28.205835342407227,51.42473220825195
7.621436595916748,31.940954208374023,3.444241523742676,49.4864501953125,12.689888954162598,7.099999904632568,34.00033950805664,44.94267654418945
10.572256088256836,24.708236694335938,3.463341236114502,60.841678619384766,15.14264965057373,3.700000047683716,41.33045196533203,49.494876861572266
9.62972354888916,24.833202362060547,4.072584629058838,73.18040466308594,13.13097858428955,2.0399999618530273,49.39017868041992,58.73440933227539
13.620220184326172,25.34049415588379,3.8080101013183594,76.8843994140625,9.753752708435059,0.5,48.31769561767578,61.495697021484375
18.59727668762207,31.100786209106445,3.3590290546417236,91.7297134399414,8.948930740356445,1.5499999523162842,53.90184020996094,73.86766815185547
21.23830795288086,25.638011932373047,3.40183687210083,85.31884765625,9.648436546325684,3.0,52.31367492675781,69.39427947998047
18.780139923095703,22.357269287109375,1.0756676197052002,71.52223205566406,4.413572788238525,2.109999895095825,36.85811233520508,60.51750183105469
22.269981384277344,28.82908058166504,1.8458667993545532,97.74330139160156,6.655265808105469,1.2000000476837158,50.01572799682617,72.54965209960938
21.5118408203125,34.619258880615234,1.725518822669983,108.09391784667969,6.416669845581055,2.359999895095825,62.76405334472656,69.7877426147461
14.773868560791016,33.03714370727539,3.219510793685913,97.55754852294922,7.169036388397217,1.2400000095367432,58.2268180847168,59.25446701049805
19.657503128051758,34.96337890625,3.182720899581909,112.45816040039062,16.233680725097656,3.1600000858306885,59.970001220703125,63.5402717590332
15.829999923706055,20.520000457763672,2.825190305709839,83.27289581298828,14.300000190734863,33.90999984741211,33.61000061035156,40.531681060791016
